component,layer,head,token_id,token_text,logit_boost
layer_3.head_3,3,3,45692,س,0.026767203584313393
layer_3.head_3,3,3,37987,ogie,0.026292074471712112
layer_3.head_3,3,3,15562,Incre,0.026054073125123978
layer_3.head_4,3,4,32288,regor,0.038667723536491394
layer_3.head_4,3,4,26523,ionic,0.03840953856706619
layer_3.head_4,3,4,15512,ilight,0.037932127714157104
layer_3.head_4,3,4,40561,apego,0.03560516983270645
layer_3.head_4,3,4,26818,vine,0.035446904599666595
layer_3.head_5,3,5,36890,lite,0.00609962921589613
layer_3.head_5,3,5,24631,ndra,0.00596648408100009
layer_3.head_5,3,5,6137,arters,0.00573409628123045
layer_3.head_5,3,5,22596, Apart,0.005581408739089966
layer_3.head_5,3,5,47256, Phi,0.005034660454839468
layer_3.head_6,3,6,34174,arat,0.019276823848485947
layer_3.head_6,3,6,12738, dece,0.01774446666240692
layer_3.head_6,3,6,15292, fest,0.016873402521014214
layer_3.head_6,3,6,38230, Ai,0.01642855815589428
layer_3.head_6,3,6,13291, href,0.016001887619495392
layer_3.head_7,3,7,4932, Guard,0.018291551619768143
layer_3.head_7,3,7,44908,izens,0.017931988462805748
layer_3.head_7,3,7,42307, Rivals,0.017840469256043434
layer_3.head_7,3,7,6962,ayers,0.017416756600141525
layer_3.head_7,3,7,48994, Corridor,0.01657932810485363
layer_3.head_8,3,8,41716, phased,0.07062747329473495
layer_3.head_8,3,8,50011, briefs,0.0705951452255249
layer_3.head_8,3,8,41096, reperto,0.06930671632289886
layer_3.head_8,3,8,48210, Ago,0.06841128319501877
layer_3.head_8,3,8,32559, Cul,0.06840018182992935
layer_3.head_9,3,9,44555, Archdemon,0.00619885791093111
layer_3.head_9,3,9,12889,JP,0.005544567480683327
layer_3.head_9,3,9,27415,ARS,0.005508358124643564
layer_3.head_9,3,9,21579, Emir,0.0050119804218411446
layer_3.head_9,3,9,44490,Sales,0.003654762636870146
layer_3.head_10,3,10,11966, Marketable,0.021646318957209587
layer_3.head_10,3,10,11411, destro,0.021331477910280228
layer_3.head_10,3,10,43394, CLSID,0.0207505039870739
layer_3.head_10,3,10,48723, Haitian,0.019938267767429352
layer_3.head_10,3,10,18163, suscept,0.019835371524095535
